お仕事No.,応募数 合計
2203566799,1.9602152335506535
2203546900,3.1641574525738956
2203546900,3.1641574525738956
2203545344,3.468311788827354
2203545344,3.468311788827354
2203569493,1.5069409386787416
2203556553,2.1760796060404224
2203563008,1.7091586803984395
2203526826,2.2127215669667573
2203526826,2.2127215669667573
2203501746,3.3192167793302256
2203501746,3.3192167793302256
2203519812,2.7828488334710944
2203519812,2.7828488334710944
2203525420,3.1240411035454696
2203525420,3.1240411035454696
2203563754,1.8768201110387372
2203512438,1.7987699333137899
2203512438,1.7987699333137899
2203495958,2.4258775654619913
2203495958,2.4258775654619913
2203556957,1.4510494883676566
2203570180,2.1611309042721984
2203557199,2.2374969873405703
2203554555,2.2003526478760347
2203491945,1.257231100120857
2203491945,1.257231100120857
2203546898,2.4446137181955754
2203546898,2.4446137181955754
2203526411,2.1924115093706145
2203526411,2.1924115093706145
2203540200,2.122141960033666
2203540200,2.122141960033666
2203569942,0.8717904951990474
2203555445,2.3830729028777826
2203490372,2.0026357576314564
2203490372,2.0026357576314564
2203568251,0.623212687614997
2203567768,0.5101159954664762
2203467767,2.707132315010934
2203467767,2.707132315010934
2203564104,1.5420524627003462
2203508914,2.2950728297684413
2203508914,2.2950728297684413
2203568292,0.623212687614997
2203508238,1.8406834440639845
2203508238,1.8406834440639845
2203559357,1.3786292442470989
2203569471,1.1164999847341912
2203537199,2.3084250376763684
2203537199,2.3084250376763684
2203546087,3.468311788827354
2203546087,3.468311788827354
2203517850,2.6553163854880446
2203517850,2.6553163854880446
2203552261,1.5097872042628224
2203568434,0.7312656814542096
2203506122,1.8329015756601603
2203506122,1.8329015756601603
2203536899,1.7296731529462448
2203536899,1.7296731529462448
2203545409,2.3442164767938514
2203555627,1.4127253976315783
2203490910,2.3043395704886516
2203490910,2.3043395704886516
2203569427,0.7170111213581474
2203544503,1.5617054939204937
2203544503,1.5617054939204937
2203563334,1.1741433342023517
2203470445,2.072833698803391
2203470445,2.072833698803391
2203506496,1.9917829655451091
2203506496,1.9917829655451091
2203539780,1.5516431644981654
2203539780,1.5516431644981654
2203567626,0.4665338610547532
2203494279,2.359669514051543
2203494279,2.359669514051543
2203539342,2.362174081208935
2203539342,2.362174081208935
2203526244,2.60968474025382
2203526244,2.60968474025382
2203516776,1.5849078970327526
2203516776,1.5849078970327526
2203536025,2.272041410433229
2203536025,2.272041410433229
2203566057,0.9086603139295772
2203545202,2.756081719979154
2203545202,2.756081719979154
2203545682,2.0604321921601967
2203545682,2.0604321921601967
2203539995,2.000097011875551
2203539995,2.000097011875551
2203531586,1.278932423503756
2203531586,1.278932423503756
2203527261,1.4128200030365612
2203527261,1.4128200030365612
2203568226,0.7884970929906184
2203511565,2.071108745856348
2203511565,2.071108745856348
2203566810,0.9810350741071556
2203567590,1.068872310093216
2203551163,0.5592386100561004
2203526654,2.317878317659893
2203526654,2.317878317659893
2203548891,0.8225954550042945
2203548891,0.8225954550042945
2203555449,0.9935892797882706
2203569480,0.6484119749673597
2203527260,1.4128200030365612
2203527260,1.4128200030365612
2203505822,2.0026357576314564
2203505822,2.0026357576314564
2203567848,0.6012589778932532
2203560065,1.4280036487587573
2203569320,1.4654039828505712
2203555033,1.7596829749114042
2203488009,1.8720138140029137
2203488009,1.8720138140029137
2203527442,1.786657038488805
2203527442,1.786657038488805
2203531747,2.633978558618857
2203531747,2.633978558618857
2203552319,1.2958309598614985
2203561826,0.6696165537060588
2203570174,0.9448537512532578
2203560508,1.024414959041116
2203550996,0.8107793991963772
2203550996,0.8107793991963772
2203545362,0.821292138263524
2203545362,0.821292138263524
2203555003,1.6929869391867909
2203569904,0.13536294135512378
2203543492,1.4654039828505712
2203543492,1.4654039828505712
2203569161,0.5217723109220054
2203559938,0.37859171095371164
2203566628,1.1723223715456952
2203530478,1.6252828795846719
2203530478,1.6252828795846719
2203564269,0.3451987373975611
2203562680,0.6268815871009797
2203540785,1.3950218244943149
2203540785,1.3950218244943149
2203567187,0.9986497815345853
2203554078,1.117715506408147
2203515598,1.6638134101676845
2203515598,1.6638134101676845
2203555757,1.084133314662983
2203473183,1.8144448279252643
2203473183,1.8144448279252643
2203562316,0.7955599589915496
2203569318,0.345853871035262
2203523111,1.4494786509213278
2203523111,1.4494786509213278
2203553691,1.5787649320814154
2203555887,1.3481153736103562
2203505481,2.0148440516873953
2203505481,2.0148440516873953
2203540946,1.0222628004629746
2203540946,1.0222628004629746
2203542584,1.460414981587788
2203542584,1.460414981587788
2203568538,0.5445546817669493
2203549762,0.5975730225591258
2203549762,0.5975730225591258
2203545621,2.2079577218868582
2203545621,2.2079577218868582
2203535788,2.5344485988869483
2203535788,2.5344485988869483
2203461942,1.3115036019566693
2203461942,1.3115036019566693
2203537373,0.7170065636722225
2203537373,0.7170065636722225
2203569793,1.3252556993561158
2203569374,0.3769613571640689
2203557987,2.5085220434100464
2203541977,2.020973719828474
2203541977,2.020973719828474
2203553081,1.2232027216611037
2203555735,0.7875434303471197
2203526166,1.8150015345760513
2203526166,1.8150015345760513
2203494391,3.1174223984920073
2203494391,3.1174223984920073
2203553869,0.18174002353871282
2203562253,1.1273311622953244
2203568806,1.5385817801943584
2203534402,1.1481468466882256
2203534402,1.1481468466882256
2203552444,1.737436589279125
2203569730,0.4023253105800193
2203556405,1.3003447718989078
2203511772,1.4362770328110774
2203511772,1.4362770328110774
2203555760,0.8662042591343734
2203553680,0.8326385251032296
2203512320,1.5309133767884808
2203512320,1.5309133767884808
2203560328,0.4031859584678655
2203568323,0.542203767027952
2203568192,0.27937881809481613
2203545476,0.5856824038973927
2203545476,0.5856824038973927
2203532110,1.9061823768921144
2203532110,1.9061823768921144
